Image,Area,Perimeter,Compactness,MQI
0.jpg,71721,1460.0,0.4228,0.4228
10.jpg,11773,566.79,0.4605,0.4605
101.jpg,37101,762.94,0.801,0.801
102.jpg,41738,793.13,0.8338,0.8338
105.jpg,41783,793.96,0.8329,0.8329
109.jpg,41712,796.3,0.8266,0.8266
12.jpg,11885,537.14,0.5177,0.5177
126.jpg,33077,1071.76,0.3619,0.3619
127.jpg,2017,196.67,0.6553,0.6553
128.jpg,35834,732.46,0.8393,0.8393
13.jpg,12591,459.24,0.7502,0.7502
133.jpg,50680,1195.89,0.4453,0.4453
14.jpg,11878,537.24,0.5172,0.5172
143.jpg,7047,337.97,0.7753,0.7753
144.jpg,6987,334.65,0.784,0.784
147.jpg,19242,691.42,0.5058,0.5058
15.jpg,106242,1408.96,0.6725,0.6725
150.jpg,27710,826.66,0.5096,0.5096
152.jpg,66474,1677.13,0.297,0.297
153.jpg,11134,598.68,0.3904,0.3904
156.jpg,70603,1425.7,0.4365,0.4365
158.jpg,80999,1922.6,0.2754,0.2754
158.jpg,105104,1743.19,0.4346,0.4346
159.jpg,40268,1554.71,0.2093,0.2093
162.jpg,39394,1548.37,0.2065,0.2065
167.jpg,26776,1228.57,0.2229,0.2229
169.jpg,26232,890.06,0.4161,0.4161
17.jpg,8753,425.32,0.608,0.608
171.jpg,33078,1276.12,0.2552,0.2552
173.jpg,55476,1061.81,0.6183,0.6183
176.jpg,71811,1277.13,0.5533,0.5533
177.jpg,102603,1914.24,0.3519,0.3519
177.jpg,47102,1848.11,0.1733,0.1733
18.jpg,12757,448.21,0.798,0.798
180.jpg,9681,547.99,0.4051,0.4051
182.jpg,6894,341.97,0.7408,0.7408
182.jpg,9239,438.53,0.6037,0.6037
184.jpg,18518,740.13,0.4248,0.4248
184.jpg,3839,344.53,0.4064,0.4064
185.jpg,71135,1418.71,0.4441,0.4441
186.jpg,71879,2181.98,0.1897,0.1897
188.jpg,6491,394.49,0.5241,0.5241
19.jpg,5686,367.92,0.5278,0.5278
19.jpg,5471,340.95,0.5914,0.5914
190.jpg,7627,428.88,0.5211,0.5211
194.jpg,45395,842.66,0.8034,0.8034
197.jpg,81911,1378.99,0.5413,0.5413
197.jpg,32548,839.45,0.5804,0.5804
198.jpg,45117,1462.96,0.2649,0.2649
199.jpg,52185,1343.34,0.3634,0.3634
2.jpg,65727,1524.49,0.3554,0.3554
2.jpg,59675,1261.64,0.4711,0.4711
20.jpg,8886,375.66,0.7913,0.7913
20.jpg,19984,659.22,0.5779,0.5779
20.jpg,13454,478.12,0.7396,0.7396
200.jpg,87025,1396.73,0.5606,0.5606
200.jpg,35636,775.9,0.7439,0.7439
201.jpg,9864,401.95,0.7672,0.7672
201.jpg,19118,804.54,0.3712,0.3712
201.jpg,44939,1210.34,0.3855,0.3855
204.jpg,7890,454.05,0.4809,0.4809
207.jpg,28211,1030.61,0.3338,0.3338
208.jpg,10470,417.16,0.756,0.756
21.jpg,16237,495.2,0.832,0.832
214.jpg,12278,488.62,0.6462,0.6462
215.jpg,13402,482.48,0.7235,0.7235
215.jpg,39621,1482.06,0.2267,0.2267
216.jpg,8261,386.59,0.6946,0.6946
220.jpg,43518,908.54,0.6625,0.6625
222.jpg,73130,1573.89,0.371,0.371
223.jpg,15490,526.13,0.7032,0.7032
223.jpg,36370,1787.42,0.1431,0.1431
223.jpg,7712,485.38,0.4114,0.4114
224.jpg,66310,1438.75,0.4025,0.4025
225.jpg,23332,662.52,0.668,0.668
227.jpg,20535,621.3,0.6685,0.6685
23.jpg,35062,748.1,0.7873,0.7873
230.jpg,47986,1028.26,0.5703,0.5703
231.jpg,15611,559.26,0.6272,0.6272
233.jpg,13241,501.55,0.6615,0.6615
233.jpg,15608,561.71,0.6216,0.6216
235.jpg,12931,516.86,0.6083,0.6083
235.jpg,13451,526.49,0.6098,0.6098
236.jpg,13018,518.62,0.6082,0.6082
24.jpg,24315,618.11,0.7997,0.7997
240.jpg,43790,838.84,0.782,0.782
241.jpg,16301,605.93,0.5579,0.5579
243.jpg,70526,1198.36,0.6171,0.6171
244.jpg,10486,521.4,0.4847,0.4847
244.jpg,3995,274.31,0.6672,0.6672
25.jpg,11132,426.19,0.7701,0.7701
26.jpg,69623,1592.13,0.3451,0.3451
27.jpg,60610,1363.9,0.4094,0.4094
28.jpg,58246,1328.89,0.4145,0.4145
29.jpg,25473,657.24,0.741,0.741
31.jpg,22843,616.07,0.7563,0.7563
33.jpg,40408,2446.05,0.0849,0.0849
34.jpg,40025,1505.03,0.222,0.222
36.jpg,12268,542.65,0.5235,0.5235
39.jpg,14001,568.79,0.5438,0.5438
4.jpg,63115,1592.03,0.3129,0.3129
4.jpg,55553,1200.52,0.4844,0.4844
40.jpg,56072,1195.31,0.4932,0.4932
41.jpg,60405,1302.04,0.4477,0.4477
42.jpg,30554,724.07,0.7323,0.7323
43.jpg,56992,926.95,0.8335,0.8335
44.jpg,65186,1356.97,0.4449,0.4449
45.jpg,31628,964.9,0.4269,0.4269
47.jpg,26991,686.42,0.7199,0.7199
48.jpg,33066,740.74,0.7573,0.7573
5.jpg,35225,891.64,0.5568,0.5568
