epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1550.09,1.15022,2.27585,2.23843,1.40404,0.58441,0.44642,0.48786,0.28792,0.60921,0.47354,0.50846,0.31488,1.42612,2.74827,4.86872,1.86407,0.000661616,0.000661616,0.000661616
2,2685.61,1.27356,2.18656,1.92757,1.46874,0.42695,0.55556,0.45377,0.24703,0.44369,0.51852,0.44991,0.25856,1.50442,2.89766,3.58718,1.78875,0.00130198,0.00130198,0.00130198
3,3727.16,1.29807,2.14431,1.74275,1.48731,0.62013,0.51852,0.56999,0.34418,0.63999,0.53175,0.57995,0.36068,1.42819,3.1396,2.72726,1.71809,0.00191595,0.00191595,0.00191595
4,4716.04,1.2992,2.13593,1.60792,1.48592,0.51907,0.60247,0.55389,0.34689,0.56569,0.55026,0.54689,0.346,1.3094,2.59975,1.90482,1.57129,0.0018812,0.0018812,0.0018812
5,5723.57,1.26127,2.09949,1.52348,1.45131,0.73273,0.58201,0.64867,0.42701,0.73794,0.58106,0.6429,0.42198,1.28439,2.61028,1.67501,1.57195,0.0018416,0.0018416,0.0018416
6,6754.77,1.20357,2.01496,1.42879,1.42617,0.7206,0.63228,0.71935,0.46717,0.72121,0.64331,0.70836,0.48581,1.22453,2.17265,1.47051,1.50338,0.001802,0.001802,0.001802
7,7776.23,1.20509,2.00705,1.39911,1.40519,0.75698,0.66667,0.75585,0.505,0.75698,0.66667,0.7469,0.5234,1.1983,2.00262,1.38156,1.47326,0.0017624,0.0017624,0.0017624
8,9131.92,1.19582,1.95243,1.35992,1.42274,0.64976,0.67725,0.68674,0.43653,0.64469,0.67196,0.67323,0.46608,1.30611,2.16227,1.43353,1.54883,0.0017228,0.0017228,0.0017228
9,10454.3,1.13475,1.90648,1.31633,1.36509,0.78977,0.68254,0.78374,0.53026,0.7922,0.68519,0.78254,0.53043,1.16707,1.95444,1.26313,1.43252,0.0016832,0.0016832,0.0016832
10,11696.3,1.18125,1.8966,1.29632,1.3984,0.81172,0.65012,0.73737,0.51926,0.81053,0.64509,0.73192,0.52907,1.09845,2.00331,1.35313,1.40078,0.0016436,0.0016436,0.0016436
11,12664,1.08909,1.75056,1.17975,1.34952,0.79753,0.68776,0.76424,0.53802,0.79753,0.68776,0.76871,0.5437,1.14285,2.00809,1.48505,1.44013,0.001604,0.001604,0.001604
12,13717.4,1.08721,1.82093,1.20804,1.34386,0.86192,0.68254,0.80529,0.56673,0.86999,0.68519,0.79922,0.55466,1.09506,2.06894,1.19458,1.41328,0.0015644,0.0015644,0.0015644
13,14831.8,1.04386,1.72575,1.19114,1.30209,0.7965,0.6627,0.76024,0.52623,0.80257,0.65602,0.75567,0.52784,1.125,2.10576,1.32979,1.43586,0.0015248,0.0015248,0.0015248
14,15931.8,1.03571,1.73324,1.14814,1.30491,0.8124,0.7381,0.80215,0.57027,0.82214,0.74594,0.80525,0.56725,1.06055,1.90426,1.1632,1.36185,0.0014852,0.0014852,0.0014852
15,16944.3,1.02086,1.68438,1.06695,1.28147,0.78528,0.74501,0.79958,0.5688,0.78981,0.74558,0.79549,0.57631,1.04595,1.80641,1.07279,1.31984,0.0014456,0.0014456,0.0014456
16,17889.5,1.02218,1.653,1.06046,1.29247,0.79184,0.74868,0.82952,0.57739,0.8043,0.77198,0.84296,0.58364,1.04953,1.75894,1.0703,1.36975,0.001406,0.001406,0.001406
17,18911.4,1.00699,1.61308,1.04544,1.27624,0.89631,0.69577,0.80471,0.58359,0.90377,0.69567,0.80508,0.58466,1.03159,1.92197,1.07994,1.35059,0.0013664,0.0013664,0.0013664
18,19886.7,1.01767,1.66127,1.04733,1.29505,0.81106,0.7037,0.7976,0.57929,0.84937,0.69048,0.79946,0.59081,1.02863,1.89517,1.10567,1.31142,0.0013268,0.0013268,0.0013268
19,1296.28,0.9985,1.66608,1.05906,1.29731,0.80793,0.75926,0.82465,0.58852,0.80622,0.75946,0.82373,0.5998,1.09766,1.77284,1.14265,1.39747,0.0012872,0.0012872,0.0012872
20,2456.03,1.00646,1.62504,1.0277,1.27615,0.82031,0.75661,0.82276,0.61126,0.81809,0.75397,0.81882,0.61229,1.00037,1.77563,1.0183,1.36148,0.0012476,0.0012476,0.0012476
21,3611.2,0.95565,1.53472,0.94455,1.25994,0.86478,0.74603,0.82867,0.58246,0.85136,0.7328,0.80829,0.5767,1.03112,1.94253,1.03845,1.39368,0.001208,0.001208,0.001208
22,4740.21,0.96658,1.56523,0.94105,1.27695,0.81057,0.79894,0.85197,0.61399,0.80538,0.80159,0.85082,0.61782,1.00003,1.7528,0.93135,1.3145,0.0011684,0.0011684,0.0011684
23,5860.49,0.94879,1.56189,0.93099,1.23837,0.80728,0.77513,0.84928,0.62957,0.80958,0.77513,0.84695,0.63099,1.01412,1.71812,0.94298,1.35243,0.0011288,0.0011288,0.0011288
24,7218.58,0.92737,1.53688,0.92306,1.22049,0.75325,0.79101,0.81285,0.60924,0.76261,0.78187,0.80937,0.61048,0.9699,1.75003,1.02722,1.28115,0.0010892,0.0010892,0.0010892
25,8294.46,0.9506,1.53109,0.90539,1.23217,0.87532,0.76147,0.85658,0.61503,0.88273,0.75675,0.85798,0.62563,1.03692,1.75847,0.92609,1.32024,0.0010496,0.0010496,0.0010496
26,9585.19,0.91606,1.52479,0.89519,1.22707,0.84755,0.73537,0.83268,0.61569,0.85052,0.73758,0.82884,0.62216,0.9602,1.77987,0.9581,1.3051,0.00101,0.00101,0.00101
27,10712.4,0.88055,1.49566,0.86879,1.18692,0.88675,0.74339,0.85548,0.63864,0.88675,0.74339,0.85478,0.64082,0.94427,1.68983,0.89909,1.27223,0.0009704,0.0009704,0.0009704
28,11926.6,0.88711,1.46754,0.84942,1.20208,0.85608,0.76984,0.84539,0.62696,0.83492,0.77249,0.8407,0.62793,0.93734,1.6448,0.9173,1.26321,0.0009308,0.0009308,0.0009308
29,1231.16,0.84466,1.42635,0.90833,1.20261,0.85119,0.78685,0.86258,0.64754,0.85648,0.79101,0.86672,0.65825,0.97655,1.65902,0.87591,1.45655,0.0008912,0.0008912,0.0008912
30,2386.66,0.86724,1.38208,0.8178,1.19795,0.88742,0.77155,0.86992,0.64957,0.89046,0.77419,0.86909,0.65595,0.94447,1.66543,0.85929,1.31277,0.0008516,0.0008516,0.0008516
31,3552.94,0.81296,1.33431,0.7411,1.16143,0.87324,0.72896,0.84483,0.61697,0.84246,0.7381,0.84047,0.62629,0.97341,1.67496,0.94033,1.37689,0.000812,0.000812,0.000812
32,4733.6,0.81402,1.31726,0.73213,1.17055,0.87566,0.75397,0.85435,0.63858,0.8626,0.75397,0.8543,0.63912,0.93656,1.7302,0.85093,1.31279,0.0007724,0.0007724,0.0007724
33,5886.26,0.80628,1.35288,0.73539,1.14459,0.85937,0.75983,0.85484,0.64608,0.85339,0.75454,0.8469,0.6465,0.95821,1.7377,0.84203,1.32806,0.0007328,0.0007328,0.0007328
34,7007.12,0.79834,1.3297,0.71899,1.13744,0.80986,0.78042,0.84884,0.64201,0.81631,0.77778,0.8446,0.64453,0.92046,1.72699,0.91234,1.34857,0.0006932,0.0006932,0.0006932
35,8138.43,0.79666,1.34816,0.7146,1.14051,0.93245,0.75132,0.87806,0.667,0.93245,0.75132,0.87428,0.6683,0.91917,1.68431,0.79443,1.25998,0.0006536,0.0006536,0.0006536
36,9185.55,0.78822,1.34106,0.70769,1.14274,0.8706,0.76538,0.86205,0.64062,0.86759,0.76273,0.85365,0.64637,0.93198,1.67745,0.83774,1.34676,0.000614,0.000614,0.000614
37,10275.2,0.76996,1.29118,0.6828,1.11045,0.85246,0.77778,0.85977,0.66316,0.85536,0.78042,0.85928,0.66136,0.88912,1.67537,0.83556,1.27685,0.0005744,0.0005744,0.0005744
