epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,712.379,1.29469,2.32957,2.15927,1.55075,0.47851,0.35714,0.38558,0.20999,0.47497,0.3545,0.36622,0.19975,1.67513,3.41416,2.70723,2.04692,0.000664132,0.000664132,0.000664132
2,1401.3,1.46313,2.5223,1.95656,1.67196,0.51477,0.40976,0.36956,0.22149,0.51715,0.42857,0.38083,0.22984,1.47082,2.9945,2.67359,1.81387,0.00124297,0.00124297,0.00124297
3,2152.33,1.46725,2.39102,1.86122,1.67329,0.48802,0.44633,0.46071,0.28266,0.52561,0.46296,0.47224,0.29203,1.52096,2.7413,2.68046,1.78996,0.0017338,0.0017338,0.0017338
4,3641.5,1.41105,2.43803,1.75478,1.64663,0.59151,0.5291,0.54838,0.35452,0.60516,0.57937,0.5717,0.38469,1.44339,2.42571,2.15601,1.72064,0.001604,0.001604,0.001604
5,4671.96,1.36773,2.21654,1.66781,1.58493,0.6767,0.59788,0.67099,0.4496,0.67969,0.60053,0.65941,0.44668,1.26374,2.44476,1.58741,1.58403,0.001472,0.001472,0.001472
6,6058.37,1.23375,2.03865,1.4693,1.59607,0.74346,0.6455,0.71472,0.46055,0.75185,0.65344,0.71829,0.48329,1.31148,2.19719,1.43215,1.61769,0.00134,0.00134,0.00134
7,7461.65,1.18911,1.93052,1.35093,1.57597,0.68854,0.64333,0.69267,0.46491,0.72003,0.6455,0.69973,0.48451,1.28706,2.08731,1.47476,1.61008,0.001208,0.001208,0.001208
8,8834.34,1.16895,1.84986,1.2874,1.56059,0.7457,0.5873,0.70291,0.47672,0.74394,0.59259,0.69756,0.48784,1.21481,2.15445,1.47768,1.54602,0.001076,0.001076,0.001076
9,9895.96,1.07721,1.8372,1.15452,1.47474,0.77201,0.63228,0.73855,0.50008,0.78878,0.61376,0.73075,0.51405,1.21037,2.09557,1.36374,1.51008,0.000944,0.000944,0.000944
10,11350.1,1.07031,1.69057,1.08472,1.46631,0.77255,0.69841,0.76987,0.56834,0.77425,0.7037,0.77072,0.57618,1.04846,1.86287,1.18424,1.39683,0.000812,0.000812,0.000812
11,12746.7,1.02749,1.6117,1.03535,1.43389,0.83354,0.74603,0.8236,0.59583,0.83122,0.74074,0.82658,0.60634,1.05629,1.76428,1.08649,1.38436,0.00068,0.00068,0.00068
12,13845.1,1.00691,1.60418,1.00461,1.40067,0.81029,0.7672,0.83308,0.58775,0.80917,0.77402,0.83171,0.59934,1.08525,1.76975,1.10964,1.41982,0.000548,0.000548,0.000548
13,16150.4,0.93607,1.49514,0.91457,1.38316,0.86649,0.73831,0.8369,0.61838,0.86649,0.73831,0.82997,0.62167,0.997,1.78281,1.01454,1.34829,0.000416,0.000416,0.000416
14,17209.4,0.91308,1.43185,0.83458,1.33398,0.86669,0.77513,0.85078,0.62982,0.88742,0.75074,0.84002,0.63267,0.98229,1.79032,1.00078,1.31676,0.000284,0.000284,0.000284
15,17924.9,0.86206,1.38221,0.78959,1.28598,0.89735,0.7619,0.86266,0.65459,0.89111,0.75661,0.85193,0.64999,0.93549,1.70388,0.93844,1.29361,0.000152,0.000152,0.000152
