                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.074461,               0.072818,               0.020666,                      0,                0.33702,                0.34127,                0.25603,               0.090558,                0.37076,                0.34656,                 0.2743,                0.14004,               0.049807,               0.038981,               0.010096,                      0,               0.070029,              0.0033302,              0.0033302
                      1,               0.052989,               0.042775,               0.020431,                      0,                 0.4037,                0.41534,                0.33269,                0.09388,                0.56553,                0.43388,                 0.4766,                0.26973,               0.045388,                0.03142,              0.0078682,                      0,               0.039897,              0.0065316,              0.0065316
                      2,               0.048059,               0.036749,               0.018755,                      0,                0.42155,                0.34656,                0.28447,               0.058012,                 0.4377,                0.43651,                0.39074,                0.19492,               0.049079,               0.030484,              0.0073663,                      0,              0.0096327,              0.0096009,              0.0096009
                      3,               0.045199,               0.034935,               0.018035,                      0,                0.43263,                0.29101,                0.29222,                 0.1279,                0.43534,                0.29365,                0.28686,                0.15093,               0.043125,               0.044635,              0.0088312,                      0,               0.009406,               0.009406,               0.009406
                      4,               0.041403,               0.035918,               0.018358,                      0,                0.64356,                0.51323,                0.57294,                0.26273,                0.64269,                0.51323,                0.56996,                0.34504,               0.034668,                0.02945,              0.0074281,                      0,               0.009406,               0.009406,               0.009406
                      5,               0.038763,               0.034015,               0.018208,                      0,                0.58978,                0.56349,                0.54582,                0.27638,                0.60086,                0.57407,                0.54951,                0.32992,               0.030304,               0.028416,               0.007908,                      0,               0.009208,               0.009208,               0.009208
                      6,               0.036272,               0.032544,                0.01786,                      0,                0.68513,                0.55556,                0.62786,                0.32007,                0.72205,                0.55291,                0.62417,                0.39579,               0.030147,               0.026454,              0.0075721,                      0,                0.00901,                0.00901,                0.00901
                      7,               0.034914,               0.030802,                0.01671,                      0,                0.72985,                0.60037,                0.64068,                0.38703,                 0.7466,                0.60019,                0.64207,                0.44558,               0.028832,               0.026369,              0.0069906,                      0,               0.008812,               0.008812,               0.008812
                      8,                 0.0333,               0.030504,               0.016801,                      0,                0.78126,                0.63492,                0.70404,                0.38462,                0.78704,                0.62169,                0.70541,                 0.4514,               0.027928,               0.024852,              0.0066801,                      0,               0.008614,               0.008614,               0.008614
                      9,               0.033231,               0.031131,               0.016605,                      0,                0.80887,                 0.6164,                0.70219,                0.42466,                0.81998,                0.61455,                0.69705,                0.46946,               0.027763,               0.025621,              0.0069012,                      0,               0.008416,               0.008416,               0.008416
